time_python_bubble,time_cython_bubble,time_python_selection,time_cython_selection
9.03142,1.107511,3.810418,1.112355
5.06677,1.179665,3.765359,1.106191
5.32665,1.097944,3.733798,1.161550
5.14893,1.166687,3.659899,1.135984
5.12396,1.148575,3.726044,1.159457
5.13524,1.095802,3.748874,1.169068
5.11471,1.135523,3.740046,1.175098
5.03235,1.150638,3.796181,1.128758
5.08476,1.142756,3.767440,1.115687
5.05137,1.108276,3.763511,1.136153
5.10028,1.115049,3.781436,1.110143
5.07750,1.170353,3.690212,1.128857
5.18275,1.111181,3.730006,1.127167
5.12778,1.146017,3.770282,1.107294
5.10415,1.097916,3.785589,1.120928
5.10634,1.179553,3.745502,1.105823
5.17334,1.142625,3.679841,1.210790
5.06595,1.134953,3.751838,1.166875
5.18619,1.113065,3.761363,1.107914
5.12440,1.135844,3.769305,1.137220
5.09031,1.177048,3.632580,1.192959
5.14277,1.131975,3.698690,1.173971
5.08032,1.115524,3.738128,1.129414
5.10630,1.113202,3.740297,1.114352
5.13049,1.124261,3.749432,1.122753
5.09969,1.144897,3.707124,1.119371
5.15932,1.115249,3.722863,1.155162
5.13429,1.118415,3.748331,1.125376
5.07079,1.131390,3.763875,1.103772
5.09243,1.107749,3.785537,1.120889
